job_title,salary_range,company_profile,requirements,fraudulent
Work From Home Associate,$2000 per month,"Earn money easily by working from home, no registration fees.",No experience required. Must have smartphone or laptop.,0
Crypto Analyst,Negotiable,Reputed organization hiring urgently for remote positions.,"Quick money-making job from home, join today.",0
Customer Reward Agent,$2000 per month,Fast-growing company offering remote opportunities worldwide.,"Quick money-making job from home, join today.",0
UX Designer,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
HR Assistant (Remote),$800 - $1200 weekly,Fast-growing company offering remote opportunities worldwide.,No experience required. Must have smartphone or laptop.,0
Work From Home Associate,$2000 per month,Simple online task-based business for extra income.,"Quick money-making job from home, join today.",0
Data Analyst,"$120,000 - $150,000",A global software firm focusing on enterprise automation.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Online Survey Filler,$800 - $1200 weekly,Fast-growing company offering remote opportunities worldwide.,"Quick money-making job from home, join today.",0
UX Designer,"$90,000 - $110,000",A global software firm focusing on enterprise automation.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Web Developer,"$50,000 - $70,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
System Architect,"$70,000 - $90,000",A global software firm focusing on enterprise automation.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$70,000 - $90,000",A global software firm focusing on enterprise automation.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
DevOps Specialist,"$90,000 - $110,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Mobile App Developer,"$120,000 - $150,000",Leading IT solutions company with 10+ years of experience.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Web Developer,"$40,000 - $60,000",Well-established healthcare data analytics organization.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Virtual Assistant - No Experience,$100 per task,Simple online task-based business for extra income.,"No qualification needed, we train you for free!",0
DevOps Specialist,"$70,000 - $90,000",Well-established healthcare data analytics organization.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Customer Reward Agent,$800 - $1200 weekly,Reputed organization hiring urgently for remote positions.,"Good communication skills, internet connection required.",0
Data Entry Clerk,$2000 per month,Simple online task-based business for extra income.,"No qualification needed, we train you for free!",0
Network Administrator,"$90,000 - $110,000",Mid-sized e-commerce company serving international clients.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Mobile App Developer,"$90,000 - $110,000",Recognized financial services provider headquartered in New York.,Excellent communication and project management skills.,1
Data Entry Clerk,Negotiable,Startup with guaranteed income and flexible hours.,No experience required. Must have smartphone or laptop.,0
Email Processor,$800 - $1200 weekly,Startup with guaranteed income and flexible hours.,"No qualification needed, we train you for free!",0
Mobile App Developer,"$120,000 - $150,000",Mid-sized e-commerce company serving international clients.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
UX Designer,"$90,000 - $110,000",Recognized financial services provider headquartered in New York.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Online Survey Filler,$100 per task,Simple online task-based business for extra income.,"Good communication skills, internet connection required.",0
Project Manager,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Customer Reward Agent,$100 per task,Startup with guaranteed income and flexible hours.,"Good communication skills, internet connection required.",0
DevOps Specialist,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Part-Time Freelancer,$5000 bonus after first month,Startup with guaranteed income and flexible hours.,"Good communication skills, internet connection required.",0
System Architect,"$50,000 - $70,000",Mid-sized e-commerce company serving international clients.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$90,000 - $110,000",Well-established healthcare data analytics organization.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Mobile App Developer,"$70,000 - $90,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Project Manager,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Mobile App Developer,"$90,000 - $110,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Virtual Assistant - No Experience,$5000 bonus after first month,Simple online task-based business for extra income.,No experience required. Must have smartphone or laptop.,0
Part-Time Freelancer,$5000 bonus after first month,Simple online task-based business for extra income.,"Quick money-making job from home, join today.",0
Project Manager,"$70,000 - $90,000",Leading IT solutions company with 10+ years of experience.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Project Manager,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Email Processor,$100 per task,Simple online task-based business for extra income.,No experience required. Must have smartphone or laptop.,0
Cloud Engineer,"$70,000 - $90,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
Data Entry Clerk,Earn $300 daily from home,Startup with guaranteed income and flexible hours.,"Quick money-making job from home, join today.",0
Email Processor,$100 per task,"Earn money easily by working from home, no registration fees.",No experience required. Must have smartphone or laptop.,0
Data Entry Clerk,Earn $300 daily from home,Simple online task-based business for extra income.,No experience required. Must have smartphone or laptop.,0
